County,License Number,Operation Type,Nursery Size,Greenhouse Size,Trade Name,Owner Name,Business Phone,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Georeference
MONTGOMERY,645860,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",DANIEL A KING,DANIEL A KING,518-406-8980,224,FREYSBUSH ROAD,,,FORT PLAIN,NY,13339,POINT (-74.697257 42.925867)
SUFFOLK,475931,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",FUNNY FARMS FAMOUS,STURCKEN JOAN,631-734-7366,36925,MAIN ROAD,,,CUTCHOGUE,NY,11935,POINT (-72.466692 41.029891)
SUFFOLK,644825,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",THE FARM INC,MARY ELLEN HAMMERLEI,516-695-5443,185,LOOP DRIVE,,,SAYVILLE,NY,11782,POINT (-73.071326 40.761801)
WAYNE,546832,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",ANNS PURPLE PRODUCE,SCHAUMAN ANN,315-986-3766,1206,NOLAN ROAD,,,MACEDON,NY,14502,POINT (-77.319608 43.042914)
SCHENECTADY,644697,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",KEVIN LUKE,KEVIN LUKE,518-428-5712,132,FREEMANS BRIDGE ROAD,,,SCOTIA,NY,12302,POINT (-73.940098 42.842592)
RENSSELAER,644406,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",HAYBERRY FARM LLC,NICKERSON LAWRIE,518-686-7029,1276,BABCOCK LAKE RD,,,HOOSICK FALLS,NY,12090,POINT (-73.39017 42.83296)
MONROE,260236,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",MAIER FARMS,MAIER MICHAEL & JOSEPH,585-265-3273,450,PHILLIPS ROAD,,,WEBSTER,NY,14580,POINT (-77.419608 43.245581)
ERIE,144847,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",EMERALD ACRES,KRAFT PAUL,716-225-6487,2949,BELKNAP ROAD,,,EDEN,NY,14057,POINT (-78.881862 42.689205)
JEFFERSON,645493,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",NORTHERN LIGHTS NURSERY,GARY FALK,315-777-2450,18020,COUNTY ROUTE 75,,,SACKETS HARBOR,NY,13685,POINT (-76.109222 43.928572)
ONTARIO,644781,Nursery Stock Only,10 Acres or Less,,WALNUT SHADE FARM,MARTIN KENNETH & PAULINE,585-526-5849,3248,STATE ROUTE 245,,,STANLEY,NY,14561,POINT (-77.169161 42.78956)
SUFFOLK,471218,Combined Nursery and Greenhouse,11-100 Acres,"2,000 SqFt of Glass or Less",LAVENDER BY THE BAY INC,LAVENDER BY THE BAY INC,631-477-1019,7540,MAIN ROAD,,,EAST MARION,NY,11939,POINT (-72.344082 41.124004)
MADISON,645569,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",MYSTIC MOUNTAIN DESIGNS,THERESA JOHNSON,315-662-3673,1920,KINNEY ROAD,,,NEW WOODSTOCK,NY,13122,POINT (-75.842561 42.81771)
PUTNAM,645301,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",FEN'S EDGE LLC,ANN HAMMOND,707-223-1195,307,EAST MOUNTAIN ROAD SOUTH,,,COLD SPRING,NY,10516,POINT (-73.903765 41.470441)
SUFFOLK,473263,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",VANDERZALM JOHN,VANDERZALM JOHN,631-286-0816,437,HEAD OF NECK ROAD,,,BELLPORT,NY,11713,
SUFFOLK,475213,Nursery Stock Only,101 Acres or More,,DELALIO SOD FARMS LLC,DELALIO SOD FARMS INC,631-242-3700,,SUNRISE HWY&HEAD OF NECK RD,,,EASTPORT,NY,11941,POINT (-72.718942 40.826186)
SCHENECTADY,423778,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",BURGERS FARM,BURGER ROY,518-577-6299,1221,FERRY ROAD,,,SCHENECTADY,NY,12309,POINT (-73.832931 42.790692)
BROOME,32341,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",W P GREENERY,BAILEY PHYLLIS,607-692-2190,,HICKORY STREET,PO BOX 324,,WHITNEY POINT,NY,13862,POINT (-75.940895 42.330498)
SARATOGA,645383,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",ROCKIN HOPS LLC,ERIC LINENDOLL,518-899-4288,12,COTTONWOOD COURT,,,BALLSTON LAKE,NY,12019,POINT (-73.817082 42.938861)
ALBANY,16969,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",MAE FLOWERS & GREENHSE,ROBERTS DEBORAH MAE,518-269-6984,1764,BERNE-ALTAMONT ROAD,,,ALTAMONT,NY,12009,POINT (-74.084345 42.677388)
CHAUTAUQUA,65555,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",GARFIELD ROAD GREENHOUSE,MCINTYRE MICHELLE,716-665-6222,2713,GARFIELD ROAD,,,JAMESTOWN,NY,14701,POINT (-79.23536 42.067281)
WAYNE,645097,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",NATHALI NEAL LLC,NATHALI NEAL,,7323,DRY BRIDGE ROAD,,,RED CREEK,NY,13143,POINT (-76.715492 43.260804)
CHAUTAUQUA,644491,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",BRIGIOTTAS FARMLAND PRODUCE & GARDEN CENTER INC,BRIGIOTTAS FARMLAND PRODUCE & GARDEN CEN,716-484-1121,375,E LIVINGSTON AVE,,,JAMESTOWN,NY,14701,POINT (-79.269358 42.103264)
COLUMBIA,646381,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",MATHILDA GIFFORD,MATHILDA GIFFORD,518-751-6797,601,COUNTY ROUTE 8,,,GERMANTOWN,NY,12526,POINT (-73.856703 42.127493)
ONEIDA,644414,Nursery Stock Only,10 Acres or Less,,WILLSONS NURSERY,"WILLSON LEIF C, JOHN L, GILBERT R",315-832-0713,6375,STATE ROUTE 31,,,VERONA,NY,13478,POINT (-75.639124 43.142422)
ONTARIO,321174,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",COOPER FARMS,COOPER WILLIAM F,585-394-5203,5421,ROUTE 21,,,CANANDAIGUA,NY,14424,POINT (-77.362077 42.757709)
SULLIVAN,481241,Nursery Stock Only,11-100 Acres,,MAPLEHORST FARM NURSERY INC,JOHN W. RAPP,845-794-8596,151,RAPP ROAD,,,MONTICELLO,NY,12701,POINT (-74.744175 41.687636)
ONEIDA,307085,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",OLNEYS FLOWERS OF ROME LLC,OLNEY WILLIAM FLOYD JR,315-339-6000,68551,WRIGHT SETTLEMENT,,,ROME,NY,13440,
DUTCHESS,130161,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",WONDERLAND FLORIST & NURSERY INC,WONDERLAND FLORIST&NURSERY INC,845-876-4981,199,ROUTE 308,,,RHINEBECK,NY,12572,POINT (-73.896111 41.928696)
SUFFOLK,645043,Greenhouse Stock Only,10 Acres or Less,"2,001-20,000 SqFt of Glass",C&E GREENHOUSES LLC,CAROLYN DAMBRASKI AND EVAN KUNZ,631-473-3720,117,HALLOCK AVENUE,,,PORT JEFFERSON STA,NY,11776,POINT (-73.052112 40.931876)
ALBANY,644472,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",JEFF AND CHRISSY BUHRMASTER,JEFF AND CHRISSY BUHRMASTER,518-788-1506,4120,RIVER RD,,,LATHAM,NY,12110,POINT (-73.802682 42.771067)
HERKIMER,213796,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",MASSARO&SON FLORIST LLC,MARGARET DECARR,315-866-1454,5652,RT 5,,,HERKIMER,NY,13350,POINT (-74.944149 43.026203)
ERIE,644488,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",W D HENRY & SONS INC,W D HENRY & SONS INC,,7369,GOWANDA STATE ROAD,,,EDEN,NY,14057,POINT (-78.866672 42.684598)
ALLEGANY,645705,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",BACKPORCH PRODUCE,CHERI LIDDLE,716-946-8308,10260,FAIRVIEW ROAD,,,FARMERSVILLE STATION,NY,14060,POINT (-78.292985 42.448209)
LEWIS,231644,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",GUIGNARDS GREENHOUSES,GUIGNARD JOAN,315-408-4951,6570,#4 ROAD,,,LOWVILLE,NY,13367,
BROOME,645896,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",MOELIUS FARMS,VERNON & SANDRA MOELIUS,631-745-4853,1928,NYS ROUTE 12,,,BINGHAMTON,NY,13901,POINT (-75.866446 42.1956)
SUFFOLK,644746,Nursery Stock Only,10 Acres or Less,,TODD ERICKSON LLC,TODD ERICKSON,917-657-0136,160,DOCTORS WALK,,,SAYVILLE,NY,11782,POINT (-73.08895 40.659861)
KINGS,611610,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",BROOKLYN BOTANIC GARDEN,BROOKLYN BOTANIC GARDEN CORP,718-623-7200,1000,WASHINGTON AVENUE,,,BROOKLYN,NY,11225,POINT (-73.961805 40.667603)
ERIE,140216,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",SPOTH DONALD FARM,SPOTH DONALD,716-688-7644,2715,TONAWANDA CREEK ROAD,,,AMHERST,NY,14228,POINT (-78.748957 43.06901100000001)
TIOGA,492353,Nursery Stock Only,10 Acres or Less,,FROSTY MORNING TREE FRM,WESTON DALE N,607-589-4927,303,BURHEIGHT GLEN ROAD,,,SPENCER,NY,14883,POINT (-76.527872 42.225907)
SARATOGA,411134,Combined Nursery and Greenhouse,11-100 Acres,"2,001-20,000 SqFt of Glass",NYS ENVIRONMENTAL CONS,LEE DAVID,518-581-1439,2369,ROUTE 50,,,SARATOGA SPRINGS,NY,12866,POINT (-73.760574 43.093539)
NIAGARA,645946,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",HUMAN FARMS & GREENHOUSE,RONALD A HUMAN,716-531-2820,2853,HESS ROAD,,,APPLETON,NY,14008,POINT (-78.649568 43.275413)
WYOMING,645263,Nursery Stock Only,10 Acres or Less,,BLISSFULLY MADE,MELISSA KOVACS,716-307-9192,6451,YOUNGERS ROAD,,,BLISS,NY,14024,POINT (-78.309505 42.587834)
WAYNE,643917,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",WAYSIDE GARDEN CENTER,WAYSIDE GARDEN CENTER INC,585-223-1222,124,PITSFORD PALMYRA RD,,,MACEDON,NY,14502,POINT (-77.37050200000002 43.064341)
CATTARAUGUS,645611,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",KENNETH J LINDSTROM,KENNETH LINDSTROM,,,ROUTE 219,,,ASHFORD,NY,14171,POINT (-78.64129000000001 42.420977)
ONONDAGA,313908,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",DARLING GREENHOUSES,DARLING ROGER,315-246-7207,1357,WHITING ROAD,,,JORDAN,NY,13080,POINT (-76.411278 43.065795)
ORANGE,645119,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",LETS GET FARMING LLC,RISE AND ROOT FARM,917-861-2783,168,MEADOW AVE,,,CHESTER,NY,10918,POINT (-74.258587 41.369707)
ERIE,147301,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",HOMESPUN TREASURES,LUX SUSAN,716-592-3480,11952,ALLEN ROAD,,,EAST CONCORD,NY,14055,POINT (-78.639491 42.553431)
ORANGE,336116,Greenhouse Stock Only,10 Acres or Less,"20,001 SqFt of Glass or More",ELGREEN ORCHID FARM LLC,ELGREEN ORCHID FARM LLC,201-788-6556,511,PROSPEROUS VALLY ROAD,,,MIDDLETOWN,NY,109408711,POINT (-74.440742 41.528924)
HERKIMER,646402,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",AND STUFF OF THAT NATURE,MICHELLE A TYSON,315-717-2150,3759,STATE ROUTE 5,,,FRANKFORT,NY,13340,POINT (-75.065521 43.048173)
ONONDAGA,312622,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",CASEY NEIL D &BARBARA T,CASEY NEIL D & BARBARA T,315-683-5532,6905,ROUTE 80,,,TULLY,NY,13159,POINT (-76.04664 42.825893)
ALBANY,645046,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",GEORGES MARKET & CAFE,GEORGE VOGT,518-365-4113,945,WATERVLIET SHAKER ROAD,,,ALBANY,NY,12205,POINT (-73.825267 42.738798)
DELAWARE,646068,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",ELSEWHERE FARM,ELIZABETH KADEN,607-746-6678,4122,LAUNT HOLLOW ROAD,,,HAMDEN,NY,13782,POINT (-75.032056 42.236661)
MADISON,645994,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",HARTWOOD FARM,MARYELLEN SHEEHAN & MATTHEW ROBINSON,315-632-2685,5258,IRISH RIDGE ROAD,,,CHITTENANGO,NY,13037,POINT (-75.816336 42.979345)
SARATOGA,646229,Nursery Stock Only,10 Acres or Less,,SWEETY PEAS FLOWER FARM LLC,MELISSA GARDNER,484-678-0237,15,DIAMOND RD,,,BALLSTON LAKE,NY,12019,POINT (-73.837706 42.937249)
ERIE,644988,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",BERNER FARMS LTD,LEON AND TRAVIS BERNER,716-681-0455,11210,CLINTON STREET,,,ELMA,NY,14059,POINT (-78.570346 42.856391)
YATES,644657,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",STAUFFERS GREENHOUSE,STAUFFERS GREENHOUSE,585-554-6360,4221,FERGUSON CORNERS RD,,,RUSHVILLE,NY,14544,POINT (-77.187466 42.756899)
ORLEANS,646221,Nursery Stock Only,10 Acres or Less,,ERIE WAY TREE FARM,MICHAEL J BOWER,585-638-7017,4770,S HOLLEY RD,,,HOLLEY,NY,14470,POINT (-78.026731 43.182382)
CATTARAUGUS,42409,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",PLEASANT VALLEY GREENHOUSES & NURSERY INC,PLEASANT VALLEY GRNHSES & NUR INC,716-373-2929,2871,ROUTE 16N,,,OLEAN,NY,14760,POINT (-78.413873 42.123467)
MONROE,644920,Nursery Stock Only,10 Acres or Less,,W3WORKS,DAVID PARIS,585-223-5174,10,OTTERDEN LN,,,FAIRPORT,NY,14450,POINT (-77.401975 43.082619)
ONTARIO,320001,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",GARDEN GALLERIES INC,GARDEN GALARIESS INC DBA ARBOR NURSERY F,315-548-7570,15,EAGLE ST,,,PHELPS,NY,14532,POINT (-77.068003 42.958701)
WESTCHESTER,643988,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",HOMESTEAD FLORAL DESIGN LTD,BARBARA JENKINS,914-736-0506,1062,OREGON RD,,,CORTLANDT MANOR,NY,10567,POINT (-73.892363 41.319085)
CATTARAUGUS,645264,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",PAUL HARTMAN,PAUL HARTMAN,716-864-5608,3417,WEST YORKSHIRE ROAD,,,YORKSHIRE,NY,14173,
FULTON,171758,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",MIDLINE GREENHOUSES,CHUPKA PAUL A,518-843-1803,1000,MIDLINE ROAD,,,AMSTERDAM,NY,12010,POINT (-74.167267 42.993713)
SARATOGA,646431,Nursery Stock Only,10 Acres or Less,,BRENDAN HATHAWAY,BRENDAN HATHAWAY,518-588-2268,193,HATHAWAY ROAD,,,SCHUYLERVILLE,NY,12871,POINT (-73.607605 43.057706)
STEUBEN,645103,Combined Nursery and Greenhouse,,"2,000 SqFt of Glass or Less",HARGRAVE FARMS,MICHAEL AND KAREN HARGRAVE,585-534-5275,3757,STATE ROUTE 21,,,WAYLAND,NY,14572,POINT (-77.505567 42.563629)
YATES,644284,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",BLUE SPRUCE FARM,HOOVER NELSON,607-243-9934,4784,LAKEMONT HIMROD RD,,,DUNDEE,NY,14837,POINT (-76.931835 42.532675)
ST. LAWRENCE,643755,Nursery Stock Only,10 Acres or Less,,EGGLESTON DARIN A,DARIN A EGGLESTON,315-842-0033,854,TAYLOR RD,,,MASSENA,NY,13662,POINT (-74.807258 44.915497)
WARREN,645792,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",NATURAL SURROUNDINGS NORTH INC,VERONICA ROSS,518-636-8964,162,VALLEY WOODS ROAD,,,BOLTON LANDING,NY,12814,POINT (-73.668977 43.572336)
RENSSELAER,645213,Nursery Stock Only,11-100 Acres,,ELHANNON NURSERY INC,ELHANNON NURSERY INC,518-686-5553,,ROUTE 22 ACROSS FROM BBQ,,,HOOSICK,NY,12089,POINT (-73.34729 42.889378)
ESSEX,644084,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",TAYLOR TREE CARE,TED TAYLOR,518-962-4986,152,YOUNGS RD,,,WESTPORT,NY,12993,POINT (-73.49394600000001 44.215119)
NIAGARA,187065,Nursery Stock Only,11-100 Acres,,AKRON TREE FARMS OF NY LLC,AKRON TREE FARMS OF NY LLC,716-625-8462,5911,FISK ROAD,,,LOCKPORT,NY,14094,POINT (-78.71294600000002 43.113368)
ONONDAGA,646153,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",LANS FLOWER FARM INC,JIANWU LAN AND MARK WEISS,315-688-8584,4913,NYS ROUTE 31,,,CLAY,NY,13041,
WESTCHESTER,646051,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",CODE GREEN TROPICALS,LAUREN VACCIANNA,914-960-7870,183,RIDGE AVENUE,,,YONKERS,NY,10703,POINT (-73.887095 40.944196)
WESTCHESTER,645637,Combined Nursery and Greenhouse,11-100 Acres,"2,001-20,000 SqFt of Glass",TODAYS TROYS NURSERY GARDEN DESIGN LLC,BENEDETTO CECI,914-234-3400,97,BEDFORD BANKSVILLE ROAD,,,BEDFORD,NY,10506,POINT (-73.653636 41.149659)
RENSSELAER,384833,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",MCNEILLYS GREENHOUSE,KEVIN ALLARD,518-686-4992,5421,NEW YORK 7,,,HOOSICK FALLS,NY,12090,POINT (-73.294469 42.879438)
NIAGARA,290378,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",ZASTROW FARM,ZASTROW GERALD H,716-434-2764,3294,HESS ROAD,,,LOCKPORT,NY,14094,POINT (-78.650413 43.254546)
ONONDAGA,315832,Nursery Stock Only,11-100 Acres,,SKY-HIGH TURF FARM,COULTER-GIUFRE & CO INC,315-687-6510,,ROUTE 31,,,BRIDGEPORT,NY,13030,POINT (-75.956246 43.161926)
ONONDAGA,314028,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",THE PLANT FARM,MARLOW CRAIG,315-652-9331,8702,HENRY CLAY BOULEVARD,,,CLAY,NY,13041,POINT (-76.199138 43.191976)
ALBANY,645436,Nursery Stock Only,10 Acres or Less,,BE GOLDEN FARMS LLC,MARYMICHAEL D'ONOFRIO,,,WASHINGTON PARK LAKE HOUSE @,HALF MOON MARKET,,ALBANY,NY,12203,POINT (-73.836193 42.680815)
RENSSELAER,381157,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",BLOOM'N ART INC,BLOOM'N ART INC,518-686-4719,4122,NY 7,,,HOOSICK FALLS,NY,12090,POINT (-73.387853 42.845384)
SUFFOLK,643938,Nursery Stock Only,11-100 Acres,,BARBATO NURSERY CORPORATION,LOUIS BARBATO NURSERY CORP,631-285-6767,,SOUND AVE / WILDWOOD PARK,,,CALVERTON,NY,11933,POINT (-72.749509 40.93059)
ONEIDA,307103,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",FREEDOM FARM MARKET LLC,STEPHEN ADAMKOWSKI,215-207-7708,4826,STATE ROUTE 5,,,VERNON,NY,13476,POINT (-75.567724 43.076666)
CAYUGA,56831,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",OLFACTORY SOAPS & SCENTS,CHMIELESKI SUE,315-754-8828,12973,UPTON ROAD,,,RED CREEK,NY,13143,POINT (-76.701178 43.24483)
YATES,575554,Combined Nursery and Greenhouse,11-100 Acres,"2,001-20,000 SqFt of Glass",WINDY ACRES FARM,HOOVER EUGENE,607-243-5899,4172,ROUTE 14A,,,PENN YAN,NY,14527,POINT (-77.035261 42.56262)
ORANGE,646346,Nursery Stock Only,10 Acres or Less,,ESTHERS HEAVENLY GARDEN INC,MIGUEL CANTERO,646-388-2274,148,E MAIN ST,,,WASHINGTONVILLE,NY,10992,POINT (-74.148634 41.427049)
ONEIDA,645448,Nursery Stock Only,10 Acres or Less,,HUGHES FARMS,JOHN P HUGHES,315-520-6679,321,"MAIN STREET,",ONEIDA COUNTY PUBLIC MARKET,,UTICA,NY,13501,POINT (-75.223644 43.103841)
ERIE,643839,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",SAVILLES COUNTRY FLORIST LLC,IRENE STEDMAN,716-662-4483,4020,N BUFFALO RD,,,ORCHARD PARK,NY,14127,POINT (-78.745304 42.773681)
ERIE,143135,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",KWILOS FARM FARM STAND,KWILOS JOSEPH AND RICHARD,716-549-6201,7678,ERIE ROAD,,,DERBY,NY,14047,POINT (-79.022121 42.676933)
RENSSELAER,380695,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",YONDER FARMS,"CHIARO,J DAVID PETER AND WILLIAM",518-283-4267,381,NORTH GREENBUSH ROAD,,,TROY,NY,12180,POINT (-73.691106 42.671912)
MONTGOMERY,645350,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",RADLIFF HOLLOW FARM,SARA RADLIFF,518-673-4877,210,WEST LYKERS ROAD,,,CANAJOHARIE,NY,13317,POINT (-74.505272 42.80386800000001)
GENESEE,182836,Nursery Stock Only,10 Acres or Less,,INDIAN FALLS NURSERY,LAMKIN LAVERN JR,585-762-8929,2032,INDIAN FALLS ROAD,,,CORFU,NY,14036,POINT (-78.345808 43.014436)
LIVINGSTON,645846,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",PLEASANT VIEW GREENHOUSES,MARGARET EICHER,,2988,SWANSON ROAD,,,MOUNT MORRIS,NY,14510,POINT (-77.865929 42.690293)
SUFFOLK,646354,Nursery Stock Only,11-100 Acres,,HOLZMAN FARMS LLC,"DARYL HOLZMAN, AUDREY MUHR",631-912-6065,3877,SOUND AVENUE,,,RIVERHEAD,NY,11901,POINT (-72.680978 40.969285)
STEUBEN,467105,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",TWIN ELMS FARM,PHILLIP JONES,607-324-7179,8787,ISAMAN ROAD,,,ARKPORT,NY,14807,POINT (-77.595452 42.426757)
SCHUYLER,644949,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",STILLMANS GREENHOUSE AND GARDEN CENTER LLC,STILLAMNS GREENHOUSE AND GARDEN CTR LLC,607-535-7366,251,S CATHERINE STREET,,,MONTOUR FALLS,NY,14865,POINT (-76.842225 42.343337)
ONTARIO,321706,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",FISH FRM MKT&GREENHOUSE,FISH LYNN,585-289-4215,4494,MT PAYNE ROAD,,,SHORTSVILLE,NY,14548,POINT (-77.251379 42.99709200000001)
ROCKLAND,643915,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",RED HILL NURSERY INC,STEVE THOMPSON,845-499-2555,241,SOUTH LITTLE TOR RD,,,NEW CITY,NY,10956,POINT (-74.002115 41.132816)
ALLEGANY,645601,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",RIVER SIDE FARMS,STEPHEN DEMANTE,716-560-5594,3314,RIVERSIDE DRIVE,,,SCIO,NY,14880,POINT (-77.975444 42.141422)
BROOME,33990,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",GROWING GARDENS,JOHNSON LEE AND PATRICIA,607-849-4877,9160,NYS RT 79,,,LISLE,NY,13797,
ONONDAGA,646374,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",FIG,ALISON SMITH,315-373-6152,3170,RESTON DR,,,BALDWINSVILLE,NY,13027,POINT (-76.292034 43.187846)
WESTCHESTER,552261,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",BENEDICT A NURSERY INC,BENEDICT A NURSERY INC,914-273-8480,521,BEDFORD ROAD,,,ARMONK,NY,10504,POINT (-73.685476 41.138203)
SCHENECTADY,646356,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",DICAPRIO FARM MARKET,JOSEPH DICAPRIO,518-356-0840,3651,CARMAN RD,,,SCHENECTADY,NY,12303,POINT (-73.939084 42.732526)
ERIE,143926,Nursery Stock Only,10 Acres or Less,,MARTIN PLANT FARM,MARTIN KENNETH E,716-532-2977,14466,JENNINGS ROAD,,,COLLINS,NY,14034,
MONROE,646310,Nursery Stock Only,10 Acres or Less,,BRANCHES AND BLOOMS NURSERY,JUDITH JUHAS,585-217-6087,840,SHOEMAKER RD,,,WEBSTER,NY,14580,POINT (-77.473923 43.236317)
ORLEANS,645682,Nursery Stock Only,10 Acres or Less,,SCHLABACHS NURSERY,DAVID SCHLABACH,585-798-6198,2292,MURDOCK ROAD,,,MEDINA,NY,14103,
SULLIVAN,482935,Nursery Stock Only,10 Acres or Less,,BACONS NURSERY,BACON BEATRICE,845-557-8363,420,ROUTE 55,,,BARRYVILLE,NY,12719,POINT (-74.890188 41.502739)
JEFFERSON,644922,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",ALS GARDENS,ALAN BUSH,315-777-5234,31140,NYS ROUTE 3,,,FELTS MILLS,NY,13638,
WAYNE,645813,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",JENSEN FARM MARKET,KEVIN JENSEN & BRIDGET BISHOP,585-746-5169,1040,CANANDAIGUA ROAD,,,MACEDON,NY,14502,POINT (-77.311857 43.048044)
DUTCHESS,646439,Nursery Stock Only,10 Acres or Less,,BEAR CREEK FARM,DEBRA KAYE,855-466-2836,108,HUNNS LAKE ROAD,,,STANFORDVILLE,NY,12581,POINT (-73.691581 41.87565)
CAYUGA,54249,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",DICKMAN FARMS LLC,DICKMAN FARMS LLC,315-253-3030,13,ARCHIE STREET,,,AUBURN,NY,13021,POINT (-76.540873 42.925381)
SCHOHARIE,646164,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",RHIZO CBD,JAKE DAVIS,518-956-1602,109,MAIN STREET,,,ESPERANCE,NY,12066,POINT (-74.263857 42.759716)
ESSEX,150612,Nursery Stock Only,10 Acres or Less,,ADIRONDACK BOTANICALS,CAMPBELL DAVID J,518-532-7430,246,MILLER ROAD,,,SCHROON LAKE,NY,12870,POINT (-73.749111 43.898217)
